iter	Passed	Remaining
0	156	156444
1	162	80896
2	167	55700
3	173	43176
4	179	35636
5	184	30561
6	189	26946
7	195	24246
8	201	22145
9	206	20449
10	211	19045
11	216	17817
12	220	16770
13	225	15887
14	230	15138
15	235	14480
16	240	13887
17	244	13337
18	249	12877
19	255	12498
20	260	12138
21	265	11800
22	270	11510
23	276	11228
24	281	10985
25	286	10736
26	291	10509
27	297	10315
28	302	10125
29	307	9946
30	312	9778
31	317	9614
32	322	9456
33	327	9310
34	332	9175
35	338	9069
36	343	8947
37	348	8834
38	354	8733
39	359	8634
40	364	8527
41	369	8424
42	373	8316
43	378	8222
44	383	8135
45	388	8061
46	393	7976
47	397	7890
48	402	7816
49	407	7750
50	412	7676
51	417	7609
52	421	7537
53	426	7471
54	431	7410
55	436	7351
56	441	7299
57	445	7240
58	450	7186
59	455	7135
60	460	7084
61	464	7034
62	469	6982
63	474	6932
64	478	6888
65	483	6846
66	488	6803
67	493	6760
68	497	6716
69	502	6678
70	507	6639
71	512	6601
72	516	6560
73	521	6525
74	526	6491
75	531	6458
76	536	6427
77	541	6398
78	545	6362
79	550	6330
80	555	6305
81	560	6272
82	564	6240
83	569	6208
84	574	6181
85	578	6153
86	583	6123
87	588	6093
88	592	6066
89	597	6041
90	602	6018
91	607	5993
92	612	5968
93	617	5947
94	622	5925
95	626	5902
96	631	5881
97	636	5858
98	641	5836
99	645	5813
100	650	5793
101	655	5770
102	660	5749
103	664	5725
104	669	5705
105	674	5684
106	679	5667
107	683	5647
108	688	5624
109	692	5606
110	697	5590
111	702	5571
112	707	5555
113	712	5534
114	717	5517
115	722	5506
116	727	5490
117	732	5473
118	737	5456
119	741	5439
120	746	5422
121	751	5406
122	756	5391
123	760	5373
124	764	5354
125	769	5338
126	774	5321
127	778	5306
128	783	5293
129	788	5276
130	793	5262
131	797	5246
132	802	5231
133	807	5216
134	812	5203
135	816	5190
136	821	5176
137	826	5163
138	831	5149
139	835	5135
140	841	5124
141	845	5111
142	850	5098
143	855	5083
144	859	5068
145	864	5056
146	869	5045
147	874	5032
148	878	5019
149	883	5006
150	888	4995
151	893	4982
152	897	4969
153	902	4956
154	906	4943
155	911	4931
156	916	4920
157	921	4909
158	925	4895
159	930	4883
160	935	4873
161	940	4862
162	945	4853
163	950	4843
164	954	4830
165	959	4822
166	965	4814
167	970	4806
168	975	4798
169	980	4788
170	985	4779
171	990	4769
172	995	4759
173	1000	4749
174	1005	4738
175	1010	4729
176	1015	4722
177	1020	4714
178	1025	4703
179	1030	4695
180	1035	4686
181	1040	4677
182	1045	4668
183	1050	4657
184	1055	4648
185	1060	4641
186	1066	4635
187	1071	4627
188	1076	4617
189	1080	4606
190	1085	4596
191	1090	4587
192	1094	4578
193	1099	4568
194	1104	4558
195	1108	4547
196	1113	4540
197	1119	4534
198	1124	4524
199	1129	4516
200	1134	4509
201	1141	4507
202	1148	4507
203	1154	4504
204	1160	4500
205	1167	4499
206	1173	4496
207	1179	4490
208	1185	4485
209	1190	4479
210	1197	4476
211	1203	4475
212	1210	4473
213	1216	4469
214	1224	4472
215	1231	4468
216	1236	4462
217	1242	4458
218	1248	4453
219	1254	4448
220	1259	4440
221	1264	4430
222	1269	4421
223	1273	4412
224	1278	4404
225	1283	4394
226	1287	4384
227	1292	4375
228	1297	4366
229	1301	4357
230	1306	4348
231	1311	4340
232	1316	4333
233	1321	4326
234	1327	4320
235	1331	4311
236	1336	4303
237	1341	4294
238	1346	4287
239	1351	4280
240	1356	4272
241	1361	4265
242	1366	4257
243	1371	4248
244	1376	4240
245	1380	4232
246	1385	4224
247	1390	4216
248	1395	4209
